SubsequenceLength,CurrentIndex,K,Precision,Recall,MRR
24,96,1,0.0,0.0,0.0
24,168,1,0.0,0.0,0.0
24,672,1,0.9642857142857143,0.004412485700277823,0.011363636363636364
24,4032,1,0.9642857142857143,0.004412485700277823,0.011363636363636364
24,8064,1,0.0,0.0,0.0
24,24192,1,0.0,0.0,0.0
2,2,1,0.0,0.0,0.0
60,96,1,0.0,0.0,0.0
48,168,1,0.0,0.0,0.0
48,672,1,0.0,0.0,0.0
48,4032,1,0.0,0.0,0.0
48,8064,1,0.0,0.0,0.0
48,24192,1,1.0,0.0070272920411832,1.0
168,4032,1,0.9333333333333333,0.0022879555482922045,8.984725965858041e-05
168,8064,1,1.0,0.0022879555482922045,0.00017969451931716083
168,24192,1,0.0,0.0,0.0
672,8064,1,0.0,0.0,0.0
672,24192,1,0.0,0.0,0.0
4032,24192,1,0.0,0.0,0.0
24,96,3,0.0,0.0,0.0
24,168,3,0.0,0.0,0.0
24,672,3,0.84375,0.004412485700277823,0.003787878787878788
24,4032,3,0.84375,0.004412485700277823,0.003787878787878788
24,8064,3,0.0,0.0,0.0
24,24192,3,0.0,0.0,0.0
2,2,3,0.0,0.0,0.0
60,96,3,0.0,0.0,0.0
48,168,3,0.0,0.0,0.0
48,672,3,0.7368421052631579,0.0022879555482922045,2.994908655286014e-05
48,4032,3,0.0,0.0,0.0
48,8064,3,0.0,0.0,0.0
48,24192,3,0.9555555555555556,0.0070272920411832,0.3333333333333333
168,4032,3,0.7368421052631579,0.0022879555482922045,2.994908655286014e-05
168,8064,3,0.875,0.0022879555482922045,5.989817310572028e-05
168,24192,3,0.0,0.0,0.0
672,8064,3,0.9528301886792453,0.01650596502696519,6.351626016260163e-05
672,24192,3,0.0,0.0,0.0
4032,24192,3,0.0,0.0,0.0
24,96,5,0.0,0.0,0.0
24,168,5,0.0,0.0,0.0
24,672,5,0.75,0.004412485700277823,0.0022727272727272726
24,4032,5,0.75,0.004412485700277823,0.0022727272727272726
24,8064,5,0.0,0.0,0.0
24,24192,5,0.0,0.0,0.0
2,2,5,0.0,0.0,0.0
60,96,5,0.0,0.0,0.0
48,168,5,0.0,0.0,0.0
48,672,5,0.6086956521739131,0.0022879555482922045,1.7969451931716083e-05
